,Text,Language
300,എങ്ങനെ പോകുന്നു?.,Malayalam
448,"നിങ്ങളെ സഹായിക്കാൻ കഴിയില്ല, ക്ഷമിക്കണം.",Malayalam
1934,అనే అ నుమానాలు కలుగుతున్నాయి.,Telugu
1121,ನಾವು ' ನಾವು ಈ ಸ್ಮಾರ್ಟ್ ಪದಗಳನ್ನು ಬಹಳಷ್ಟು ಕಲಿತಿದ್ದೇವೆ ಮತ್ತು ಅವುಗಳಲ್ಲಿ ಎರಡು ಮೂರು ನಾಲ್ಕು ಅನ್ನು ಒಂದೇ ವಾಕ್ಯದಲ್ಲಿ ತುಂಬಿಸಲು ನಾವು ಒಲವು ತೋರುತ್ತೇವೆ.,Kannada
1532,వివిధరకాల పుప్పొడి సూక్ష్మదర్శిని దృశ్యం,Telugu
1790,అయితే దీనికి సంబంధించి పూర్తి స్పష్టత మాత్రం లేదు.,Telugu
1679,"ఆ తరువాత, విషయాలు వంకరైన వెళ్ళింది.",Telugu
1210,ನೀವು ಅದನ್ನು ಮಾಡಬಹುದು ನೀವು ಟೋಫ್ಲ್ ಅನ್ನು ರವಾನಿಸಬಹುದು ನೀವು ಗ್ಮಾಟ್ ಅನ್ನು ಹಾದುಹೋಗಬಹುದು.,Kannada
313,"നിങ്ങളെ സഹായിക്കാൻ ശ്രമിക്കുകയായിരുന്നു, പക്ഷേ നിങ്ങൾക്ക് പറയാൻ കഴിയുന്ന ഫലത്തിലെത്താൻ കഴിഞ്ഞില്ല.",Malayalam
1740,ఈ సినిమా ఫస్ట్ లుక్ విడుదల అయ్యింది.,Telugu
1513,ఈ సందర్భంగా అమీర్ ఖాన్ మాట్లాడుతూ 'ఇన్‌క్రెడిబుల్ ఇండియా కార్యక్రమానికి ఇంతకాలం అంబాసిడర్‌ ఉండడం నా అదృష్టం,Telugu
1762,ఇంగ్లాండ్ బ్యాట్స్ మెన్ .,Telugu
1659,నేను పాక్ రైల్వేమంత్రిగా ఉన్నంత వరకూ ఇరు దేశాల మధ్య ఏ ఒక్క రైలు నడవదు’ అని ఆయన మీడియాకు తెలిపినట్టు తెలుస్తోంది.,Telugu
1820,కష్టపడితే ఫలితం మీకే దక్కుతుంది.,Telugu
1358,ಒಂದು ಮಿಲಿಯನ್ ಧನ್ಯವಾದಗಳು.,Kannada
391,"എനിക്ക് സമാനമായത് വാങ്ങാൻ താൽപ്പര്യമുണ്ടെന്ന് അവർ പറയുന്നു, നിങ്ങൾ അത് വിറ്റതായി നിങ്ങൾ അവരോട് പറഞ്ഞു നിങ്ങൾ എന്നെ വിറ്റു ഞാൻ ഇത് ശരിയായി വാങ്ങില്ല, സംഭാഷണത്തിൽ നിങ്ങൾക്ക് താൽപ്പര്യമില്ലെങ്കിൽ നിങ്ങൾ എന്നെ വിറ്റു.",Malayalam
389,ഹേയ് മറ്റൊരു വാക്യം സ്വയം ശാന്തമാക്കുക.,Malayalam
1631,మొదటి భాగం కదనాయకుడులో ఎన్టీఆర్ సినీరంగ జీవితం తాలూకు విశేషాలను చూపించబోతున్నారు.,Telugu
1051,"இதையெல்லாம் நீங்கள் சாப்பிட வேண்டும், நான் உங்களுக்கு ஆடம்பரமான விஷயங்களை விரும்பினேன் என்று நினைத்தேன், நான் உன்னை திருமணம் செய்து கொள்ள விரும்பவில்லை, நான் வீட்டிற்கு செல்ல விரும்புகிறேன்.",Tamil
1288,ಅಭಿಪ್ರಾಯಗಳು.,Kannada
1933,జట్టును ముందుకు నడిపించేందుకు భారత్ కెప్టెన్ విరాట్ కోహ్లీ చాలా ప్రయత్నించారు.,Telugu
1300,ನೀವು ಸಂಪೂರ್ಣವಾಗಿ ಸರಿ.,Kannada
1262,ನಿಮ್ಮನ್ನು ಭೇಟಿಯಾಗಲು ಸಂತೋಷವಾಗಿದೆ.,Kannada
963,"நான் ஏதாவது செய்ய விரும்புகிறேன், ஆனால் என்னால் முடியாது.",Tamil
1294,ಪ್ರಶ್ನೆಯನ್ನು ತಪ್ಪಿಸುವುದು.,Kannada
1235,ನನಗೆ ಗೊತ್ತು.,Kannada
63,ഓൺ‌ലൈൻ ആക്റ്റിവിസത്തിന്റെ ഇക്കാലത്ത് അനായാസമായ ഈ സൗകര്യം പക്ഷേ മലയാളത്തിൽ ശൈശവാവസ്ഥയിലാണ്.,Malayalam
593,"ടെറി നിങ്ങൾ യഥാർത്ഥത്തിൽ ആ മാലാഖയെപ്പോലെയാണ് കാണപ്പെടുന്നത്, എന്നിരുന്നാലും നിങ്ങൾ രണ്ടുപേരും എങ്ങനെ ആയിരിക്കുമെന്ന് ഞാൻ കാണുന്നു",Malayalam
935,நீங்கள் தலையில் ஆணியை அடித்தீர்கள்.,Tamil
302,"വാക്യം നമ്പർ രണ്ട് നിങ്ങൾ‌ ആരെയെങ്കിലും കുറച്ചുകാലമായി കാണാത്തപ്പോൾ‌ നിങ്ങൾ‌ അവനോട്‌ ദീർഘനേരം കാണുന്നില്ലെന്ന്‌ അർ‌ത്ഥമാക്കുന്നു, അതിനർ‌ത്ഥം നിങ്ങൾ‌ ഈ വ്യക്തിയെ ആഴ്ചകളോ മാസങ്ങളോ കണ്ടിട്ടില്ലെന്നാണ് ഇതിനർത്ഥം.",Malayalam
1913,"మేము తప్పనిసరిగా చేసినది ఈ రెండు పంపిణీ శక్తుల (forces) స్థానంలో ఉంది రెండు points శక్తులతో (forces), 1μ N అదే d ప్రదేశంలో పనిచేస్తుంది.",Telugu
1781,దీపావళి అంటేనే అందరికీ ఆనందావళి.,Telugu
784,"உங்களுக்கு உதவ முயற்சித்தது, ஆனால் நீங்கள் சொல்லக்கூடிய முடிவை அடைய முடியவில்லை.",Tamil
1478,"మెల్లగా మొదలుపెట్టి, క్రమంగా స్థాయిని పెంచుకుంటూ పోవాలి.",Telugu
479,അത് മികച്ചതായിരിക്കും.,Malayalam
1731,ఇప్పటి వరకు ఇక్కడ అనేక సినిమా షూటింగ్లు జరిగినాయి.,Telugu
1411,"ಒಂದು ಬೃಹತ್ ಮತ್ತು ಭವ್ಯವಾದ ಗೋಲ್ಡನ್ ಕ್ಯಾಸಲ್ ನಾರ್ಸಿಸಾ ಅವರು ನೋಡಿದ ಎಲ್ಲ ಸೌಂದರ್ಯವನ್ನು ನೋಡಿ ಆಶ್ಚರ್ಯಚಕಿತರಾದರು, ನಾನು ಅನೇಕ ಸಂಪತ್ತಿಗೆ ಅರ್ಹನೆಂದು ನನಗೆ ತಿಳಿದಿತ್ತು, ನಿಮಗೆ ಬೇಕಾದುದನ್ನು ನೀವು ಬಯಸುತ್ತೀರಿ ಎಂದು ನಿಮಗೆ ತಿಳಿದಿತ್ತು ನೀವು ಬಯಸಿದ ಯಾವುದನ್ನಾದರೂ ನೀವು ಇಲ್ಲಿ ಕಾಣಬಹುದು ನನ್ನ ಅರಮನೆಯಲ್ಲಿ ಆಹಾರದ ಬಗ್ಗೆ ಚೆನ್ನಾಗಿ ಮಾತನಾಡುತ್ತಾ ನಾನು ಆ ಸವಾರಿಯ ನಂತರ ನಿಜವಾಗಿಯೂ ಹಸಿದಿದ್ದೇನೆ.",Kannada
1195,ಒಂದು ನಿಮಿಷದಲ್ಲಿ ನಾನು ನಿಮ್ಮೊಂದಿಗೆ ಇರುತ್ತೇನೆ ಮತ್ತು ನಾನು ನಿಮ್ಮೊಂದಿಗೆ ಇರುತ್ತೇನೆ ಮತ್ತು ನಂತರ ನೀವು ಏನನ್ನಾದರೂ ಮಾಡುವುದನ್ನು ಪುನರಾರಂಭಿಸಿ ಮತ್ತು ನಾವು ಎಲ್ಲಿದ್ದೇವೆ ಎಂದು ನೀವು ಹೇಳುತ್ತೀರಿ.,Kannada
988,"இல்லை, நான் நன்றாக இருக்கிறேன், நன்றி.",Tamil
1241,ನಾನು ನನ್ನ ಸ್ನೇಹಿತನನ್ನು ನೋಡುತ್ತಿದ್ದೇನೆ.,Kannada
310,ആരെങ്കിലും രസകരമായ ഒരു തമാശ പറഞ്ഞാൽ അത് നല്ലതാണെന്ന് നിങ്ങൾക്ക് പറയാൻ കഴിയും.,Malayalam
1226,"ಅದು ನಿಮ್ಮನ್ನು ಮುಳುಗಿಸುತ್ತದೆ, ಅಕ್ಷರಶಃ ನಿಮ್ಮನ್ನು ಕರೆದೊಯ್ಯಿರಿ ಮತ್ತು ನೀವೇ ಒಟ್ಟಿಗೆ ಎಳೆಯಿರಿ ಕೆಲಸ ಮಾಡುವುದನ್ನು ನಿಲ್ಲಿಸಿ ಅಳುವುದು ನಿಮ್ಮನ್ನು ಒಟ್ಟಿಗೆ ಎಳೆಯಿರಿ.",Kannada
1113,ಅಥವಾ ಈ ತ್ರೈಮಾಸಿಕದಲ್ಲಿ ವ್ಯವಹಾರವು ನಿಧಾನವಾಗಿದೆ ನೀವು ಒಂದು ದಿನ ನಿಮ್ಮ ತಾಯಿಗೆ ಹೇಳಬಹುದು ಅಥವಾ ನೀವು ಹೇಳಬಹುದು ಎಂದು ನೀವು ತುಂಬಾ ದಣಿದಿದ್ದರೆ ಅದನ್ನು ನಿಮ್ಮ ದೈನಂದಿನ ಜೀವನದಲ್ಲಿ ಬಳಸಬಹುದು.,Kannada
1110,ಸ್ವಲ್ಪ ದಣಿದ ಮತ್ತು ಕೊರತೆಯನ್ನು ಕಾಣಲು ಸಾಮಾನ್ಯಕ್ಕಿಂತ.,Kannada
1599,యెహోవాయే మన ఏకైక దేవుడు.,Telugu
258,"ഞാൻ അതിനാൽ അടുത്ത തവണ നിങ്ങൾക്ക് സ്കൂളിൽ നിന്ന് കണക്ക് ഗൃഹപാഠം ലഭിക്കുമ്പോൾ നിങ്ങൾ നിങ്ങളുടെ ഗണിത പുസ്തകം സ്കൂളിൽ ഉപേക്ഷിച്ചിട്ടുണ്ടെങ്കിൽ, നിങ്ങൾ ഒരു യഥാർത്ഥ പരിഹാരത്തിലാണെന്ന് നിങ്ങളുടെ സുഹൃത്തുക്കളോട് പറയാൻ കഴിയും, ഇപ്പോൾ വേഡ് ഫിക്സ് എന്നതിന് എന്തെങ്കിലും ചെയ്യാമെന്ന് നിങ്ങൾ ചിന്തിച്ചേക്കാം എന്തെങ്കിലും നന്നാക്കുന്നതിലൂടെ.",Malayalam
1719,అమరవీరులకు జాతి నివాళి,Telugu
514,ഞാൻ നിങ്ങൾക്ക് ഒരു വീട്ടിലേക്ക് പോകാൻ ആഗ്രഹിക്കുന്നുണ്ടോ?,Malayalam
1361,ನಾನು ನಿಮಗೆ ಸಾಕಷ್ಟು ಧನ್ಯವಾದ ಹೇಳಲಾರೆ.,Kannada
1431,ಟೆರ್ರಿ ನೀವು ನಿಜವಾಗಿಯೂ ಆ ದೇವದೂತನಂತೆ ಸ್ವಲ್ಪ ಕಾಣುತ್ತಿದ್ದೀರಿ ಆದರೆ ನಾನು ಏನು ನೋಡುತ್ತಿದ್ದೇನೆ ನೀವು ಹೇಗೆ ಅವನಾಗಬಹುದು ನೀವು ಇಬ್ಬರು ತುಂಬಾ ಒಳ್ಳೆಯವರು,Kannada
1405,ಅದು ನಿಲ್ಲಿಸಿದಂತೆ ಒಬ್ಬ ಸುಂದರ ವ್ಯಕ್ತಿ ಅದರಿಂದ ಹೊರಬಂದು ನಾರ್ಸಿಸಾಳನ್ನು ನೋಡಿದಾಗ ಅವಳು ನನ್ನ ಕನಸು ಎಷ್ಟು ಸುಂದರವಾಗಿದ್ದಾಳೆಂದು ಸಂಪೂರ್ಣವಾಗಿ ಆಘಾತಕ್ಕೊಳಗಾಗಿದ್ದಳು.,Kannada
1163,ನೀವು ಏನನ್ನಾದರೂ ಹಿಡಿಯದಿದ್ದರೆ ಅಥವಾ ನೀವು ಯಾವಾಗಲೂ ಕೇಳಬಹುದಾದ ವ್ಯಕ್ತಿಯನ್ನು ನಾನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳದಿದ್ದರೆ ಏನು ನಡೆಯುತ್ತಿದೆ?,Kannada
1455,మరోవైపు రెడ్మీ నోట్ 4ను కూడా మూడు వేరియంట్ లలో అందుబాటులో ఉంచారు.,Telugu
1171,ನಾನು ಕೇಳುತ್ತಿರಲಿಲ್ಲ ಏಕೆಂದರೆ ನೀವು ಕಾರ್ಯನಿರತರಾಗಿರಬಹುದು.,Kannada
472,മുന്നോട്ടുപോകുക.,Malayalam
620,"நிபுணர்களால் எழுதப்பட்ட கட்டுரைகளை, வழக்கப்படியான செய்முறைப்படி பரிசீலித்து வெளியிடுவதாகவே இத்திட்டம் அமைந்திருந்தது.",Tamil
1260,ವಸ್ತುಗಳು ಹೇಗೆ?,Kannada
703,"சதுப்புநிலம் என்பது ஈரநிலத்தின் ஒரு பகுதி மற்றும் யாரோ ஒரு சதுப்பு நிலத்தில் தவறான இடத்தில் நுழைந்தால் அவர்கள் எளிதில் மூழ்கிவிடுவார்கள் மற்றும் சதுப்பு நிலத்தின் வினை வடிவம் மூழ்குவதைக் குறிக்கிறது, எனவே இந்த வார்த்தையை நீங்கள் எவ்வாறு பயன்படுத்தலாம் என்பது இங்கே.",Tamil
624,"ஆரம்ப காலத்தில், நுபீடியாவிற்கு, அதன் சொந்த நுபீடியா மூலம் திறந்த உள்ளடக்க உரிமம் வழங்கப்பட்டது.",Tamil
465,ഞാൻ സമ്മതിക്കുന്നുവെന്ന് എനിക്ക് ഉറപ്പില്ല.,Malayalam
1617,'మా వేతనాలు ఇవ్వండి' అంటూ ఉపాధి కార్యాలయం ముట్టడి,Telugu
1196,ನಾವು ಎಲ್ಲಿದ್ದೇವೆ ಎಂದು ನಾವು ಯಾವಾಗ ನಿಲ್ಲಿಸಿದ್ದೇವೆ ಮತ್ತು ನೀವು ಅದನ್ನು ಪುನರಾವರ್ತಿಸಬೇಕು ಏಕೆಂದರೆ ಅದು ಯಾರಾದರೂ ತಪ್ಪಾಗಿ ಭಾವಿಸುವ ಶಬ್ದವಾಗಿದೆ.,Kannada
1561,మరో 16మంది రోగులు ప్రస్తుతం చికిత్స పొందుతున్నారు.,Telugu
1418,ಇಲ್ಲಿ ಕೆಲವು ಚಿನ್ನದ ಆಲೂಗಡ್ಡೆಗಳನ್ನು ಪ್ರಯತ್ನಿಸಿ ಅವು ನಿಜವಾಗಿಯೂ ಒಳ್ಳೆಯದು ಮತ್ತು ನೀವು ನನ್ನನ್ನು ಮದುವೆಯಾದ ನಂತರ.,Kannada
388,"അക്ഷരാർത്ഥത്തിൽ സ്വയം എടുക്കുന്നതുപോലെ സ്വയം ഒന്നിച്ച് വലിക്കുക, സ്വയം വലിച്ചിടുക, ജോലി ചെയ്യുന്നത് നിർത്തുക കരച്ചിൽ സ്വയം ഒരുമിച്ച് വലിക്കുക.",Malayalam
679,"[70] விக்கிப்பீடியாவிலுள்ள கட்டுரைகள், அவற்றின் விருத்தி நிலை அடிப்படையிலும், விடய அடிப்படையிலும் ஒழுங்கமைக்கப்பட்டிருக்கும்.",Tamil
986,"அது நன்றாக இருக்கும், நன்றி.",Tamil
400,ഇത് എന്റെ തെറ്റാണ്.,Malayalam
119,വിക്കിപീഡിയയിൽ രജിസ്റ്റർ ചെയ്യുന്നതിലൂടെയാണ് വിക്കിപീഡിയരുടെ എണ്ണം കണക്കാക്കുന്നത്.,Malayalam
227,ഒന്ന് ചതുപ്പുനിലമാണ് ചതുപ്പുനിലം എന്നാണ് മുങ്ങുക അല്ലെങ്കിൽ വെള്ളപ്പൊക്കം എന്നാൽ ചതുപ്പുനിലം പലപ്പോഴും ഞാൻ പോലുള്ള ജോലിയുടെ പശ്ചാത്തലത്തിൽ ഉപയോഗിക്കുന്നു.,Malayalam
799,"அழாதபடி வருத்தப்பட வேண்டாம் என்று நீங்கள் யாரையாவது கேட்டால், அதை மனதில் கொள்ள வேண்டாம் என்று சொல்லலாம்.",Tamil
1267,ಅಷ್ಟೇನೂ ಇಲ್ಲ.,Kannada
1627,"ఇది జల వ్యవస్థల ద్వారా విడుదలైన కార్బన్ డయాక్సైడ్ మొత్తాన్ని గుర్తించగలదు, అందువల్ల మళ్లీ మీరు నికర ప్రాధమిక ఉత్పాదకతను పరోక్షంగా అంచనా వేయవచ్చు.",Telugu
706,செய்ய.,Tamil
1240,ನಾನು ನನ್ನನ್ನು ಆವರಿಸಿಕೊಳ್ಳಬಹುದೇ?,Kannada
538,"ശരി, പൊതുവായ വാക്യങ്ങളെയും ശൈലികളെയും കുറിച്ച് നിങ്ങൾക്ക് കൂടുതൽ പാഠങ്ങൾ വേണമെങ്കിൽ ചുവടെയുള്ള അഭിപ്രായ വിഭാഗത്തിൽ എന്നെ അറിയിക്കുക.",Malayalam
1464,సమస్య ఉపరితలం మీద ఉంది.,Telugu
420,ശരി നമുക്ക് ആരംഭിക്കാം.,Malayalam
126,റാണിയില്ലാത്ത ഉറുമ്പുകൂട്ടത്തെ പോലെയാണിവർ.,Malayalam
374,"അത് കത്തിക്കുന്നു, അതിനർത്ഥം കാലിഫോർണിയയിൽ നിരവധി അമേരിക്കക്കാർ പറഞ്ഞത് അതിശയകരമാണ്.",Malayalam
861,"நான் அதையே வாங்க விரும்புகிறேன், அவர்கள் அதை விற்றீர்கள் என்று நான் அவர்களிடம் சொல்கிறேன், நீங்கள் என்னை விற்றீர்கள், நான் இதை சரியாக வாங்க மாட்டேன், உரையாடலில் உங்களுக்கு ஆர்வம் இல்லையென்றால் என்னை விற்றீர்கள்.",Tamil
916,"இன்னும் கொஞ்சம் மெதுவாக பேச முடியுமா, தயவு செய்து?",Tamil
709,"நான் உங்களை குழப்பிவிட்டேன், எனவே உங்களுக்கு சில அனுபவங்களைத் தருகிறேன், வேலை அனுபவம் இல்லாமல் உங்களுக்கு வேலை கிடைக்காதபோது ஒரு பிடிப்பு -22 நிலைமை.",Tamil
928,இந்த விஷயத்தில் எனக்கு ஒரு கருத்து இல்லை.,Tamil
1048,"வேறு ஏதாவது ஆனால் நான் சாப்பிடக்கூடிய சாதாரண ரொட்டி ரொட்டியை நான் விரும்புகிறேன், என் சைர் ஷெல்லின் மனைவியாக இருக்க வேண்டும், அது குளிர்ச்சியாக இருக்கிறது, நீங்கள் எல்லா உணவுகளையும் பார்த்த சிறந்த நாசீஸை மட்டுமே சாப்பிட வேண்டும்.",Tamil
1729,వాటికి కూడా మరణం లేదు.,Telugu
1969,దీనిపై న్యాయ పోరాటం చేస్తాం.,Telugu
325,നിങ്ങൾ ഇവിടെ എന്താണ് ചെയ്യുന്നത് എന്നതുപോലെയാണ് നിങ്ങൾ ഇവിടെ നടക്കുന്നത്.,Malayalam
1323,ನಾಳೆಗಾಗಿ ಯಾವುದೇ ಯೋಜನೆಗಳನ್ನು ಪಡೆದಿದ್ದೀರಾ?,Kannada
1511,1 టేబుల్ స్పూన్. l.,Telugu
1377,ನೀವು ಈ ವೀಡಿಯೊವನ್ನು ಇಷ್ಟಪಟ್ಟರೆ ಲೈಕ್ ಬಟನ್ ಒತ್ತುವ ಮೂಲಕ ಥಂಬ್ಸ್ ಅಪ್ ನೀಡಿ ಮತ್ತು ನನ್ನ ಇತ್ತೀಚಿನ ಪಾಠಗಳನ್ನು ಇಲ್ಲಿಯೇ ಯೂಟ್ಯೂಬ್‌ನಲ್ಲಿ ಪಡೆಯಲು ಚಂದಾದಾರ ಬಟನ್ ಕ್ಲಿಕ್ ಮಾಡುವ ಮೂಲಕ ಈ ಚಾನಲ್‌ಗೆ ಚಂದಾದಾರರಾಗಲು ಮರೆಯದಿರಿ.,Kannada
475,ഒരു നിമിഷം പിടിക്കുക.,Malayalam
